2026-08-05T13:46:58+00:00,Controlled test of maximum_wick_ticks=1.75 against production defaults.,wick-detection,worst_fold_net_r=-3.086917;total_net_r=5.519353;overall_profit_factor=1.5368343;negative_overall_drawdown_r=-5.222238;total_trades=18,DISCARDED
2026-08-05T13:47:04+00:00,"Controlled test of entry_model=origin_limit, expiry_bars=2, origin_zone_atr_fraction=0.08, origin_zone_minimum_ticks=1 against production defaults.",entry-model,worst_fold_net_r=-2.035042;total_net_r=-2.035042;overall_profit_factor=0;negative_overall_drawdown_r=-2.035042;total_trades=2,DISCARDED
2026-08-05T13:47:09+00:00,Controlled test of trend_filter=none against production defaults.,trend-filter,worst_fold_net_r=-0.296387;total_net_r=5.979424;overall_profit_factor=1.2332892;negative_overall_drawdown_r=-9.579093;total_trades=41,DISCARDED
2026-08-05T13:47:14+00:00,"Controlled test of ema_slope_lookback=4, tolerance_ticks=1.5 against production defaults.",trend-filter+wick-detection,worst_fold_net_r=-3.086917;total_net_r=5.519353;overall_profit_factor=1.5368343;negative_overall_drawdown_r=-5.222238;total_trades=18,DISCARDED
2026-08-05T13:47:19+00:00,"Controlled test of tolerance_ticks=1.5, maximum_wick_ticks=1.75 against production defaults.",wick-detection,worst_fold_net_r=-3.086917;total_net_r=5.519353;overall_profit_factor=1.5368343;negative_overall_drawdown_r=-5.222238;total_trades=18,DISCARDED
2026-09-04T21:47:05+00:00,Immutable Wickless production defaults with the London-New York session union at 9ddd1b44.,baseline,worst_fold_net_r=-7.327845;total_net_r=-15.420716;overall_profit_factor=0.86512683;negative_overall_drawdown_r=-31.38749;total_trades=162,KEPT
2026-09-04T21:47:45+00:00,"Controlled test of entry_model=zone_reclaim, expiry_bars=6, origin_zone_atr_fraction=0.16, reclaim_buffer_ticks=1, maximum_entry_displacement_atr=0.34 against production defaults.",entry-model,worst_fold_net_r=-3.049341;total_net_r=-4.419285;overall_profit_factor=0.72918287;negative_overall_drawdown_r=-10.287349;total_trades=22,DISCARDED
2026-09-04T21:48:26+00:00,Controlled test of ema_length=40 against production defaults.,trend-filter,worst_fold_net_r=-8.268977;total_net_r=-10.363043;overall_profit_factor=0.90687076;negative_overall_drawdown_r=-28.34624;total_trades=160,DISCARDED
2026-09-04T21:49:06+00:00,"Controlled test of ema_length=45, tolerance_ticks=0.5 against production defaults.",trend-filter+wick-detection,worst_fold_net_r=-4.268552;total_net_r=5.236961;overall_profit_factor=1.090118;negative_overall_drawdown_r=-14.940806;total_trades=89,DISCARDED
2026-09-04T21:49:46+00:00,Controlled test of tolerance_ticks=0.5 against production defaults.,wick-detection,worst_fold_net_r=-4.268552;total_net_r=3.198862;overall_profit_factor=1.0531811;negative_overall_drawdown_r=-16.978905;total_trades=91,DISCARDED
2026-09-04T21:50:26+00:00,"Controlled test of entry_model=origin_limit, expiry_bars=4, origin_zone_atr_fraction=0.12, origin_zone_minimum_ticks=2 against production defaults.",entry-model,worst_fold_net_r=-7.208073;total_net_r=-12.418419;overall_profit_factor=0.75193694;negative_overall_drawdown_r=-19.149068;total_trades=68,DISCARDED
2026-09-04T21:51:07+00:00,Controlled test of ema_slope_lookback=3 against production defaults.,trend-filter,worst_fold_net_r=-7.32537;total_net_r=-11.528998;overall_profit_factor=0.90094281;negative_overall_drawdown_r=-26.880931;total_trades=167,DISCARDED
2026-09-04T21:51:47+00:00,"Controlled test of ema_length=45, maximum_wick_ticks=1.25 against production defaults.",trend-filter+wick-detection,worst_fold_net_r=-6.308206;total_net_r=-6.904474;overall_profit_factor=0.92803008;negative_overall_drawdown_r=-25.193102;total_trades=139,DISCARDED
2026-09-04T21:52:27+00:00,Controlled test of maximum_wick_ticks=1.5 against production defaults.,wick-detection,worst_fold_net_r=-6.308206;total_net_r=-10.925624;overall_profit_factor=0.88848406;negative_overall_drawdown_r=-28.413984;total_trades=140,DISCARDED
2026-09-04T21:53:08+00:00,"Controlled test of entry_model=origin_limit, expiry_bars=3, origin_zone_atr_fraction=0.1, origin_zone_minimum_ticks=3, invalidate_on_trend_change=False against production defaults.",entry-model,worst_fold_net_r=-6.136707;total_net_r=-8.203669;overall_profit_factor=0.804151;negative_overall_drawdown_r=-15.027971;total_trades=58,DISCARDED
2026-09-04T21:53:48+00:00,"Controlled test of ema_length=45, ema_slope_lookback=4 against production defaults.",trend-filter,worst_fold_net_r=-7.32537;total_net_r=-11.388801;overall_profit_factor=0.89858366;negative_overall_drawdown_r=-27.417238;total_trades=161,DISCARDED
2026-09-04T21:54:29+00:00,"Controlled test of ema_slope_lookback=4, tolerance_ticks=1.0 against production defaults.",trend-filter+wick-detection,worst_fold_net_r=-6.308206;total_net_r=-7.90444;overall_profit_factor=0.91847296;negative_overall_drawdown_r=-22.194964;total_trades=140,DISCARDED
2026-09-04T21:55:09+00:00,"Controlled test of tolerance_ticks=1.5, maximum_wick_ticks=1.5 against production defaults.",wick-detection,worst_fold_net_r=-6.308206;total_net_r=-10.925624;overall_profit_factor=0.88848406;negative_overall_drawdown_r=-28.413984;total_trades=140,DISCARDED
